Date,store,time_measure,Total Cars,menu_all,greet_all,Menu Board,Greet,Menu 1,Greet 1,Menu 2,Greet 2,service,lane_queue,lane_total
2025-09-12,343939 Mt.Joy,Daypart 2,256.0,26.0,2.0,26.0,2.0,0.0,0.0,0.0,0.0,46.0,72.0,145.0
2025-09-12,343939 Mt.Joy,Daypart 3,109.0,29.0,2.0,29.0,2.0,0.0,0.0,0.0,0.0,60.0,35.0,124.0
2025-09-12,343939 Mt.Joy,Daypart 4,60.0,29.0,2.0,29.0,2.0,0.0,0.0,0.0,0.0,69.0,30.0,129.0
2025-09-12,343939 Mt.Joy,Daypart 5,18.0,30.0,5.0,30.0,5.0,0.0,0.0,0.0,0.0,105.0,31.0,167.0
2025-09-12,357993 Enola,Daypart 1,11.0,33.0,4.0,33.0,4.0,0.0,0.0,0.0,0.0,93.0,31.0,157.0
2025-09-12,357993 Enola,Daypart 2,318.0,31.0,2.0,31.0,2.0,0.0,0.0,0.0,0.0,39.0,73.0,143.0
2025-09-12,357993 Enola,Daypart 3,155.0,33.0,4.0,33.0,4.0,0.0,0.0,0.0,0.0,52.0,56.0,142.0
2025-09-12,357993 Enola,Daypart 4,80.0,31.0,6.0,31.0,6.0,0.0,0.0,0.0,0.0,66.0,26.0,124.0
2025-09-12,357993 Enola,Daypart 5,19.0,38.0,5.0,38.0,5.0,0.0,0.0,0.0,0.0,73.0,16.0,128.0
2025-09-12,358529 Columbia,Daypart 2,290.0,30.0,5.0,30.0,5.0,0.0,0.0,0.0,0.0,48.0,91.0,170.0
2025-09-12,358529 Columbia,Daypart 3,110.0,36.0,8.0,36.0,8.0,0.0,0.0,0.0,0.0,69.0,82.0,187.0
2025-09-12,358529 Columbia,Daypart 4,58.0,33.0,5.0,33.0,5.0,0.0,0.0,0.0,0.0,98.0,36.0,166.0
2025-09-12,358529 Columbia,Daypart 5,29.0,37.0,6.0,37.0,6.0,0.0,0.0,0.0,0.0,103.0,58.0,196.0
2025-09-12,359042 LITITZ,Daypart 2,301.0,25.0,2.0,25.0,2.0,0.0,0.0,0.0,0.0,41.0,112.0,179.0
2025-09-12,359042 LITITZ,Daypart 3,85.0,37.0,8.0,37.0,8.0,0.0,0.0,0.0,0.0,70.0,32.0,141.0
2025-09-12,359042 LITITZ,Daypart 4,67.0,47.0,10.0,47.0,10.0,0.0,0.0,0.0,0.0,87.0,67.0,201.0
2025-09-12,359042 LITITZ,Daypart 5,22.0,44.0,5.0,44.0,5.0,0.0,0.0,0.0,0.0,123.0,22.0,190.0
2025-09-12,363271 Marietta,Daypart 2,262.0,31.0,3.0,0.0,0.0,31.0,3.0,0.0,0.0,52.0,88.0,168.0
2025-09-12,363271 Marietta,Daypart 3,84.0,35.0,3.0,0.0,0.0,35.0,3.0,0.0,0.0,83.0,58.0,173.0
2025-09-12,363271 Marietta,Daypart 4,80.0,37.0,3.0,0.0,0.0,37.0,3.0,0.0,0.0,80.0,43.0,161.0
2025-09-12,363271 Marietta,Daypart 5,20.0,41.0,2.0,0.0,0.0,41.0,2.0,0.0,0.0,89.0,32.0,163.0
2025-09-12,364322 elizabethtown,Daypart 2,293.0,32.0,2.0,32.0,2.0,0.0,0.0,0.0,0.0,45.0,81.0,178.0
2025-09-12,364322 elizabethtown,Daypart 3,121.0,36.0,3.0,36.0,3.0,0.0,0.0,0.0,0.0,61.0,53.0,163.0
2025-09-12,364322 elizabethtown,Daypart 4,90.0,39.0,4.0,39.0,4.0,0.0,0.0,0.0,0.0,85.0,58.0,194.0
2025-09-12,364322 elizabethtown,Daypart 5,19.0,28.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,93.0,27.0,152.0
